,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
128,CADUSD=X,Sinal 7,150.0,50,53.0,53,2.5714285714285716,5,0.12,8,-4.16
114,CADUSD=X,Sinal 6,250.0,125,34.4,56,24.125,48,0.29,34,-4.42
107,CADUSD=X,Sinal 6,150.0,50,20.615384615384617,56,9.954545454545455,42,0.23,57,-4.559999999999998
127,CADUSD=X,Sinal 7,125.0,50,27.0,27,2.5714285714285716,5,0.12,8,-4.640000000000001
143,CADUSD=X,Sinal 7,525.0,175,0.0,0,26.0,48,0.0,5,-5.0
74,CADUSD=X,Sinal 4,375.0,125,0.0,0,31.0,54,0.0,5,-5.0
142,CADUSD=X,Sinal 7,437.5,175,0.0,0,26.0,48,0.0,5,-5.0
141,CADUSD=X,Sinal 7,350.0,175,0.0,0,26.0,48,0.0,5,-5.0
73,CADUSD=X,Sinal 4,312.5,125,0.0,0,31.0,54,0.0,5,-5.0
126,CADUSD=X,Sinal 7,100.0,50,14.0,14,2.5714285714285716,5,0.12,8,-5.12
129,CADUSD=X,Sinal 7,150.0,75,53.0,53,12.428571428571429,33,0.12,8,-5.12
140,CADUSD=X,Sinal 7,450.0,150,0.0,0,24.166666666666668,43,0.0,6,-6.0
139,CADUSD=X,Sinal 7,375.0,150,0.0,0,24.166666666666668,43,0.0,6,-6.0
137,CADUSD=X,Sinal 7,375.0,125,0.0,0,22.0,41,0.0,6,-6.0
131,CADUSD=X,Sinal 7,225.0,75,0.0,0,12.428571428571429,33,0.0,7,-7.0
130,CADUSD=X,Sinal 7,187.5,75,0.0,0,12.428571428571429,33,0.0,7,-7.0
18,CADUSD=X,Sinal 1,400.0,200,0.0,0,32.0,60,0.0,12,-12.0
19,CADUSD=X,Sinal 1,500.0,200,0.0,0,32.0,60,0.0,12,-12.0
20,CADUSD=X,Sinal 1,600.0,200,0.0,0,32.0,60,0.0,12,-12.0
102,CADUSD=X,Sinal 5,400.0,200,30.0,41,32.25,60,0.11,18,-12.06
3,CADUSD=X,Sinal 1,150.0,75,26.88888888888889,41,13.766666666666667,48,0.23,39,-12.09
104,CADUSD=X,Sinal 5,600.0,200,47.0,47,32.25,60,0.06,17,-12.92
103,CADUSD=X,Sinal 5,500.0,200,45.0,45,32.25,60,0.06,17,-13.429999999999998
85,CADUSD=X,Sinal 5,125.0,50,13.153846153846153,28,9.382978723404255,46,0.22,60,-13.799999999999999
0,CADUSD=X,Sinal 1,100.0,50,11.666666666666666,27,7.46875,41,0.22,41,-13.940000000000001
