,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
13,JPYUSD=X,Sinal 1,375.0,150,32.0,53,19.166666666666668,55,0.19,37,-12.395000000000003
11,JPYUSD=X,Sinal 1,375.0,125,31.5,53,17.129032258064516,53,0.16,37,-13.32
12,JPYUSD=X,Sinal 1,300.0,150,27.25,54,19.166666666666668,55,0.21,38,-14.060000000000002
10,JPYUSD=X,Sinal 1,312.5,125,32.0,54,17.129032258064516,53,0.18,38,-14.060000000000004
4,JPYUSD=X,Sinal 1,187.5,75,15.0,53,9.147058823529411,54,0.19,42,-14.070000000000004
124,JPYUSD=X,Sinal 6,500.0,200,36.25,59,25.764705882352942,60,0.19,42,-14.070000000000004
1,JPYUSD=X,Sinal 1,125.0,50,7.0,25,4.764705882352941,38,0.19,42,-14.070000000000004
0,JPYUSD=X,Sinal 1,100.0,50,6.222222222222222,20,4.7272727272727275,38,0.21,42,-15.540000000000003
14,JPYUSD=X,Sinal 1,450.0,150,42.0,60,20.35483870967742,56,0.14,36,-15.839999999999998
122,JPYUSD=X,Sinal 6,525.0,175,36.42857142857143,60,24.216216216216218,59,0.16,44,-15.84
18,JPYUSD=X,Sinal 1,400.0,200,35.8,56,24.076923076923077,56,0.16,31,-16.12
16,JPYUSD=X,Sinal 1,437.5,175,38.0,60,22.93103448275862,56,0.15,34,-16.15
6,JPYUSD=X,Sinal 1,200.0,100,14.25,42,12.0,59,0.2,41,-16.400000000000002
44,JPYUSD=X,Sinal 3,150.0,50,10.5,35,4.716666666666667,27,0.19,74,-17.759999999999998
104,JPYUSD=X,Sinal 5,600.0,200,36.6,52,19.38235294117647,47,0.13,39,-18.72
125,JPYUSD=X,Sinal 6,600.0,200,36.8,56,25.764705882352942,60,0.13,39,-18.72
19,JPYUSD=X,Sinal 1,500.0,200,37.333333333333336,59,24.076923076923077,56,0.1,29,-18.85
7,JPYUSD=X,Sinal 1,250.0,100,18.333333333333332,49,12.882352941176471,59,0.15,40,-19.0
40,JPYUSD=X,Sinal 2,500.0,200,34.0,52,22.75862068965517,55,0.12,33,-19.14
17,JPYUSD=X,Sinal 1,525.0,175,38.0,59,22.93103448275862,56,0.09,32,-20.48
41,JPYUSD=X,Sinal 2,600.0,200,38.0,52,22.75862068965517,55,0.09,32,-20.48
47,JPYUSD=X,Sinal 3,225.0,75,20.384615384615383,48,8.426229508196721,40,0.18,74,-20.720000000000002
8,JPYUSD=X,Sinal 1,300.0,100,20.6,54,14.0,59,0.12,40,-20.8
5,JPYUSD=X,Sinal 1,225.0,75,17.6,48,9.82857142857143,54,0.12,40,-20.8
38,JPYUSD=X,Sinal 2,525.0,175,32.333333333333336,39,19.419354838709676,53,0.09,34,-21.76
46,JPYUSD=X,Sinal 3,187.5,75,16.133333333333333,41,8.186440677966102,40,0.2,74,-22.200000000000003
61,JPYUSD=X,Sinal 3,500.0,200,41.375,60,20.53488372093023,60,0.16,51,-22.439999999999998
20,JPYUSD=X,Sinal 1,600.0,200,32.0,32,24.076923076923077,56,0.04,27,-22.68
45,JPYUSD=X,Sinal 3,150.0,75,11.647058823529411,35,7.5964912280701755,40,0.23,74,-22.94
43,JPYUSD=X,Sinal 3,125.0,50,7.714285714285714,34,4.716666666666667,27,0.19,74,-24.790000000000006
42,JPYUSD=X,Sinal 3,100.0,50,6.4375,28,4.362068965517241,27,0.22,74,-25.16
59,JPYUSD=X,Sinal 3,525.0,175,45.57142857142857,60,18.32608695652174,59,0.13,53,-25.439999999999998
62,JPYUSD=X,Sinal 3,600.0,200,54.0,56,20.53488372093023,60,0.04,45,-37.8
