,Teste,Sinal,TP,TL,Média Dias Vitória,Max Dias Vitoria,Média Dias Derrota,Max Dias Derrota,Aproveitamento,Trades,retorno/invest
9,AUDUSD=X,Sinal 1,250.0,125,20.428571428571427,35,15.64,54,0.22,32,-10.88
54,AUDUSD=X,Sinal 3,300.0,150,28.823529411764707,56,17.955555555555556,54,0.27,62,-11.779999999999998
109,AUDUSD=X,Sinal 6,187.5,75,18.071428571428573,48,11.27659574468085,52,0.23,61,-11.894999999999998
121,AUDUSD=X,Sinal 6,437.5,175,37.857142857142854,53,19.933333333333334,60,0.19,37,-12.395000000000003
46,AUDUSD=X,Sinal 3,187.5,75,14.0,53,9.64406779661017,52,0.24,78,-12.480000000000002
13,AUDUSD=X,Sinal 1,375.0,150,30.75,48,21.391304347826086,56,0.15,27,-12.825
12,AUDUSD=X,Sinal 1,300.0,150,21.6,46,21.391304347826086,56,0.18,28,-12.880000000000003
101,AUDUSD=X,Sinal 5,525.0,175,45.42857142857143,59,20.88235294117647,54,0.17,41,-13.119999999999997
55,AUDUSD=X,Sinal 3,375.0,150,34.92307692307692,55,17.934782608695652,54,0.22,59,-13.569999999999999
5,AUDUSD=X,Sinal 1,225.0,75,15.666666666666666,34,14.28125,55,0.16,38,-13.68
123,AUDUSD=X,Sinal 6,400.0,200,36.57142857142857,53,21.321428571428573,60,0.2,35,-14.0
60,AUDUSD=X,Sinal 3,400.0,200,31.09090909090909,59,22.444444444444443,60,0.23,47,-14.57
117,AUDUSD=X,Sinal 6,300.0,150,34.0,59,19.27027027027027,59,0.23,48,-14.879999999999999
112,AUDUSD=X,Sinal 6,250.0,100,25.333333333333332,42,15.644444444444444,55,0.21,57,-15.105
47,AUDUSD=X,Sinal 3,225.0,75,16.266666666666666,60,10.131147540983607,52,0.2,76,-15.199999999999996
104,AUDUSD=X,Sinal 5,600.0,200,47.0,53,23.8,55,0.14,35,-15.399999999999999
58,AUDUSD=X,Sinal 3,437.5,175,33.333333333333336,48,21.256410256410255,54,0.19,48,-16.080000000000005
111,AUDUSD=X,Sinal 6,200.0,100,18.5,39,14.772727272727273,55,0.24,58,-16.240000000000002
118,AUDUSD=X,Sinal 6,375.0,150,37.125,55,19.27027027027027,59,0.18,45,-16.650000000000006
48,AUDUSD=X,Sinal 3,200.0,100,17.05,53,12.771929824561404,55,0.26,77,-16.939999999999998
10,AUDUSD=X,Sinal 1,312.5,125,26.25,47,18.678571428571427,55,0.12,32,-18.560000000000002
11,AUDUSD=X,Sinal 1,375.0,125,37.666666666666664,48,18.678571428571427,55,0.1,31,-18.599999999999998
114,AUDUSD=X,Sinal 6,250.0,125,25.333333333333332,42,17.069767441860463,55,0.22,55,-18.700000000000003
110,AUDUSD=X,Sinal 6,225.0,75,21.3,42,11.89795918367347,52,0.17,59,-18.879999999999995
119,AUDUSD=X,Sinal 6,450.0,150,39.333333333333336,55,19.27027027027027,59,0.14,43,-18.919999999999998
124,AUDUSD=X,Sinal 6,500.0,200,45.75,59,21.655172413793103,60,0.12,33,-19.14
8,AUDUSD=X,Sinal 1,300.0,100,24.5,46,18.612903225806452,55,0.11,35,-19.6
122,AUDUSD=X,Sinal 6,525.0,175,46.0,59,20.29032258064516,60,0.11,35,-19.6
113,AUDUSD=X,Sinal 6,300.0,100,32.888888888888886,59,16.065217391304348,55,0.16,55,-19.8
51,AUDUSD=X,Sinal 3,250.0,125,22.41176470588235,60,15.148148148148149,54,0.24,71,-19.880000000000003
125,AUDUSD=X,Sinal 6,600.0,200,52.333333333333336,59,21.655172413793103,60,0.09,32,-20.48
52,AUDUSD=X,Sinal 3,312.5,125,27.571428571428573,59,15.636363636363637,54,0.2,69,-20.700000000000003
115,AUDUSD=X,Sinal 6,312.5,125,33.666666666666664,59,17.477272727272727,55,0.17,53,-21.464999999999996
61,AUDUSD=X,Sinal 3,500.0,200,33.0,41,22.710526315789473,60,0.14,44,-22.44
49,AUDUSD=X,Sinal 3,250.0,100,20.533333333333335,60,13.666666666666666,55,0.2,75,-22.500000000000004
62,AUDUSD=X,Sinal 3,600.0,200,38.6,52,23.102564102564102,60,0.11,44,-24.64
59,AUDUSD=X,Sinal 3,525.0,175,32.6,41,21.902439024390244,54,0.11,46,-25.76
56,AUDUSD=X,Sinal 3,450.0,150,34.285714285714285,48,18.06382978723404,54,0.13,54,-25.919999999999998
116,AUDUSD=X,Sinal 6,375.0,125,35.166666666666664,48,17.477272727272727,55,0.12,50,-26.0
50,AUDUSD=X,Sinal 3,300.0,100,25.083333333333332,47,14.0,55,0.16,73,-26.279999999999998
53,AUDUSD=X,Sinal 3,375.0,125,33.4,53,15.660714285714286,54,0.15,66,-26.400000000000002
